race,gender,relationship,age,hours-per-week,workclass,occupation,education,native-country,marital-status,Class-label
4,0,1,50,40,2,11,7,38,0,0
4,1,0,38,50,2,11,9,30,2,0
4,1,0,45,55,2,9,9,38,2,0
4,1,1,25,40,2,2,0,38,4,0
4,1,0,31,40,2,5,15,38,2,0
2,1,1,90,40,2,7,11,38,4,0
2,1,0,54,20,2,0,11,38,2,0
4,0,1,53,35,1,6,13,38,4,0
4,0,3,18,40,2,11,11,38,4,0
4,1,0,66,50,4,4,11,38,2,0
4,0,1,75,20,2,0,8,3,6,0
4,0,1,65,40,2,0,11,38,0,0
2,1,1,35,40,2,13,1,38,5,0
2,0,4,41,38,2,11,11,38,0,0
4,1,1,25,42,2,0,15,38,4,0
3,0,2,33,40,2,2,15,38,0,0
4,1,1,28,55,2,9,14,38,4,1
4,1,0,59,40,5,7,11,38,2,0
4,0,1,40,38,5,0,15,38,4,0
4,1,0,41,50,2,3,9,19,2,1
4,1,0,38,70,1,3,12,38,2,1
4,1,3,23,40,2,13,11,38,4,0
4,1,0,40,40,2,9,9,38,2,1
4,0,5,41,20,4,7,11,38,2,0
4,1,0,24,50,5,10,7,38,2,0
4,1,1,38,40,2,2,15,38,0,0
4,1,0,58,45,2,0,11,38,2,1
4,0,1,32,34,2,7,11,38,4,0
4,1,0,40,60,2,12,7,38,2,1
4,0,5,41,40,2,9,14,38,2,1
2,0,5,42,40,2,0,9,38,2,0
2,0,4,59,30,1,7,0,38,6,0
4,1,3,19,40,1,0,15,38,4,0
4,1,1,58,20,2,13,15,38,4,0
1,1,0,42,40,4,4,11,0,2,1
4,0,3,20,40,2,7,11,38,4,0
4,0,1,32,30,2,7,11,38,5,0
4,0,1,45,45,2,3,8,38,6,0
4,1,1,50,40,2,2,5,38,0,0
4,0,3,36,40,2,9,9,38,0,0
4,1,0,45,60,2,11,11,38,2,0
4,1,3,17,12,2,7,1,38,4,0
4,1,0,59,40,2,11,15,38,2,0
4,1,0,26,40,2,2,1,38,2,0
1,1,0,37,75,3,3,15,36,2,1
4,1,0,64,40,2,3,11,38,2,1
4,0,1,33,45,2,9,9,38,4,0
4,0,5,33,40,2,2,11,38,2,1
4,1,0,61,40,2,3,11,38,2,1
4,1,3,17,24,2,7,6,38,4,0
4,1,0,50,98,4,4,12,38,2,0
4,1,3,27,35,1,9,12,38,4,0
4,0,3,30,40,2,9,11,38,0,0
2,1,0,43,40,2,5,11,38,2,0
4,1,0,44,40,2,2,15,38,2,1
4,0,1,35,40,2,3,15,38,4,0
4,0,3,25,40,2,12,15,38,4,0
4,0,5,24,48,2,6,15,38,2,1
4,0,1,22,15,2,9,9,10,4,0
4,1,0,42,40,1,2,15,38,2,1
2,0,4,34,45,2,11,7,38,0,0
4,0,1,60,42,2,9,9,38,0,0
4,1,3,21,40,2,5,11,38,4,0
4,1,0,57,40,0,11,12,38,2,1
4,1,0,41,60,2,9,14,38,2,1
4,1,1,50,45,2,7,15,38,0,0
4,0,1,25,40,2,3,9,38,4,0
4,1,0,50,40,2,2,5,6,2,0
4,1,0,36,45,2,9,9,38,2,0
4,0,1,31,40,2,9,11,38,0,0
4,1,1,29,56,1,10,9,38,4,0
4,1,3,21,45,2,11,15,38,4,0
2,0,4,27,40,2,12,9,38,4,0
4,1,0,65,16,2,13,11,38,2,0
4,0,1,37,60,3,11,9,38,0,0
4,1,3,24,40,2,2,11,38,4,0
4,1,1,38,80,2,11,11,38,0,0
4,1,0,48,40,2,0,9,38,2,1
1,0,1,21,25,2,7,15,38,4,0
4,1,0,31,45,2,13,11,38,2,1
4,1,0,55,40,2,11,11,38,2,1
1,0,5,24,40,2,0,15,24,2,0
4,0,1,43,40,2,0,11,38,0,0
4,1,1,26,45,2,12,7,38,4,0
4,0,1,46,33,2,9,7,38,4,0
4,1,0,35,40,2,0,7,38,2,1
4,1,0,41,54,3,4,15,38,2,1
4,1,1,26,40,2,11,9,38,4,0
1,1,0,34,35,2,3,12,35,2,1
2,0,1,36,40,4,9,9,38,0,1
4,1,3,22,15,2,11,15,38,4,0
4,1,1,24,40,2,6,15,38,4,0
4,1,0,77,40,4,11,15,38,2,0
4,0,2,22,40,2,6,4,25,2,0
4,0,1,29,40,2,12,15,38,4,0
4,0,1,62,24,2,7,11,38,6,0
4,1,0,39,40,4,3,11,38,2,0
4,1,0,43,50,2,2,15,38,2,0
4,1,1,35,45,2,13,11,38,0,0
4,0,1,29,40,2,3,1,38,4,0
4,1,0,76,10,4,2,12,38,2,0
4,1,0,63,45,4,4,11,38,2,0
4,0,5,43,50,2,9,15,38,2,1
4,1,0,58,40,4,5,11,38,2,0
4,1,1,66,55,2,13,11,38,4,0
2,1,1,41,45,2,2,15,38,4,0
4,1,1,26,40,2,0,9,38,4,0
4,1,1,47,40,2,7,8,38,4,0
4,1,0,55,40,1,0,0,38,2,0
4,1,0,53,40,2,13,11,38,2,0
4,1,2,17,48,2,7,4,25,4,0
4,1,2,30,40,2,2,11,38,4,0
4,1,1,49,60,2,9,12,38,4,0
2,1,4,19,30,2,11,11,13,4,0
2,1,0,45,40,2,7,11,38,2,0
4,1,1,26,40,2,11,7,38,4,0
4,1,0,38,40,2,2,8,38,2,1
4,1,0,36,40,5,10,11,38,2,1
4,1,1,33,20,2,4,11,38,4,0
2,0,3,22,40,5,10,15,38,4,0
4,1,1,43,42,4,11,9,38,4,0
4,1,1,56,25,2,7,7,19,3,0
4,1,3,31,25,2,9,9,38,4,0
4,1,0,33,40,2,3,9,38,2,1
4,1,0,26,40,2,7,11,38,2,0
4,1,0,33,40,2,3,9,38,2,1
4,1,0,46,30,1,13,1,38,2,0
4,1,0,38,40,0,0,11,38,2,1
3,1,4,65,40,2,7,1,38,6,0
4,1,0,40,40,2,12,8,38,2,1
4,0,5,42,35,2,0,11,38,2,0
4,1,0,26,40,4,2,6,31,2,0
4,0,5,36,24,2,7,0,38,2,0
4,1,0,62,40,2,9,12,38,2,1
4,1,0,43,45,2,13,9,38,2,0
4,1,1,43,45,2,3,9,38,0,1
4,1,1,22,55,2,11,11,38,3,0
4,1,0,28,40,2,2,11,38,2,0
4,1,0,56,45,4,11,15,38,2,0
4,0,1,22,15,2,11,7,38,4,0
4,0,1,57,45,2,3,9,38,0,1
4,0,4,39,40,2,11,11,38,0,0
4,0,4,26,15,0,0,15,38,4,0
4,1,3,17,10,2,7,1,38,4,0
4,1,0,40,38,5,6,8,38,2,1
2,1,0,45,40,2,6,11,38,2,0
2,1,1,44,40,2,2,11,38,4,0
4,0,3,20,10,1,0,15,38,4,0
4,0,5,33,40,2,2,11,38,2,0
4,1,1,23,40,2,11,15,38,4,0
4,1,1,46,30,4,3,12,38,0,0
4,1,0,38,50,2,11,11,38,2,0
4,1,1,54,40,2,13,11,38,0,0
4,0,1,46,45,2,2,4,38,0,0
4,1,0,25,40,2,2,15,38,2,0
4,0,1,46,40,2,11,15,38,0,0
4,0,5,36,40,1,13,15,38,2,0
4,0,1,23,25,2,7,11,38,4,0
4,1,1,29,40,2,6,11,38,5,0
4,0,5,44,6,2,0,15,38,2,1
4,0,3,19,16,2,0,15,38,4,0
4,0,2,19,40,2,7,11,38,4,0
4,0,5,35,40,2,7,11,38,2,1
4,1,1,27,50,2,2,9,38,4,0
4,1,1,46,40,4,2,7,38,5,0
4,0,1,34,35,2,7,11,38,4,0
4,1,0,44,40,2,12,15,38,2,0
4,0,4,45,40,2,5,15,38,0,0
4,1,0,25,55,2,3,9,38,2,1
4,1,0,52,50,3,3,9,38,2,1
4,1,3,20,40,2,5,15,38,4,0
4,0,1,28,40,2,7,15,38,4,0
4,1,0,50,40,5,10,9,38,2,1
4,0,1,34,64,2,12,8,38,0,0
3,1,0,28,40,2,5,5,32,2,0
4,1,0,41,65,2,3,12,38,2,1
4,1,0,28,40,2,0,11,38,2,0
4,1,0,46,25,4,2,11,38,2,0
4,1,0,32,50,2,3,15,38,2,0
2,0,1,41,24,1,7,15,38,0,0
2,0,4,24,40,2,5,11,38,4,0
4,0,4,33,40,2,3,15,38,0,0
4,1,0,46,60,2,3,10,38,2,1
4,1,0,31,40,5,6,15,38,2,0
4,1,1,35,50,2,2,2,38,0,1
4,1,0,52,40,2,6,3,25,2,0
4,0,3,30,19,2,7,1,38,4,0
2,1,1,34,40,1,6,1,38,5,0
4,0,4,34,40,5,13,11,38,0,0
4,1,0,20,30,2,11,15,38,2,0
4,1,3,17,18,2,5,1,38,4,0
4,0,5,32,40,5,3,9,38,2,1
4,1,1,29,40,2,4,11,38,0,0
4,0,4,33,35,2,2,0,38,4,0
4,1,0,25,60,2,13,11,38,2,0
4,1,1,36,40,0,9,12,38,4,0
4,1,1,23,72,2,5,11,5,4,0
4,1,0,63,40,3,3,11,38,2,1
4,1,0,47,40,1,9,12,38,2,0
4,0,1,40,40,4,9,9,38,3,0
4,0,5,30,25,2,7,7,38,2,1
1,1,3,27,40,2,2,15,29,4,0
4,1,0,33,50,2,9,12,38,2,1
2,1,1,34,60,1,4,11,38,4,0
4,0,1,34,40,1,10,15,38,4,0
4,1,0,23,40,2,0,15,38,2,0
4,0,5,42,40,1,0,15,38,2,0
4,1,1,29,40,2,9,9,38,4,0
4,0,1,45,28,2,0,11,38,0,0
4,1,3,24,40,0,1,11,38,4,0
4,1,0,44,40,2,9,15,38,2,1
4,1,2,27,40,2,2,6,25,4,0
4,1,1,20,35,2,11,15,38,4,0
2,0,4,44,40,2,3,11,38,6,0
0,1,0,51,40,2,2,11,38,2,0
4,1,0,20,40,2,6,11,38,2,0
2,0,3,19,40,2,6,11,38,4,0
4,1,0,45,55,3,2,15,38,2,1
4,1,0,60,40,2,2,11,38,2,1
4,0,5,44,40,4,11,11,38,2,1
1,1,0,40,40,2,6,8,38,2,1
4,0,5,30,40,2,3,11,38,2,0
2,1,0,38,50,2,13,15,38,2,0
4,1,0,23,60,2,13,11,38,2,0
4,1,3,44,40,2,4,7,38,4,0
2,1,0,54,40,1,13,11,38,2,0
4,1,0,32,50,2,9,9,38,2,0
4,1,4,50,40,2,2,3,38,3,0
4,0,1,24,20,2,12,9,38,4,0
4,0,5,37,60,2,0,11,38,2,0
4,1,4,52,40,2,13,11,38,0,0
4,1,0,38,40,2,13,15,38,2,0
4,1,0,49,45,2,3,12,38,2,1
4,0,5,30,16,2,12,9,38,2,1
4,1,4,60,40,2,9,15,38,4,1
4,1,1,35,40,2,2,11,38,4,0
4,1,1,30,60,2,13,11,38,4,0
4,0,1,67,24,2,7,8,38,0,0
4,0,1,46,40,2,2,9,38,4,0
4,1,1,17,6,2,7,6,38,4,0
4,1,3,22,30,2,5,15,38,4,0
4,1,1,27,40,2,7,0,38,4,0
4,0,4,23,35,2,7,11,38,4,0
4,1,0,33,45,2,2,7,31,2,0
4,1,0,43,20,4,2,15,38,2,0
4,1,1,28,20,5,9,9,38,4,0
4,0,4,41,40,2,2,11,38,3,0
2,0,3,25,20,2,0,15,38,3,0
4,1,0,59,45,1,13,11,38,2,0
4,0,4,45,40,1,9,9,38,0,0
4,1,0,38,60,2,11,9,38,2,1
4,0,1,40,35,2,7,11,38,4,0
4,1,1,46,40,0,0,11,38,0,0
4,0,1,35,60,2,3,7,38,4,0
4,0,4,34,25,2,9,11,38,0,0
4,1,3,33,20,2,2,9,38,4,0
4,0,4,41,36,2,0,11,38,0,0
4,1,3,20,40,2,6,15,38,4,0
4,1,3,23,40,2,7,4,7,4,0
4,0,1,26,35,2,9,15,38,4,0
4,1,1,23,40,1,4,11,30,4,0
4,1,0,62,40,1,13,11,38,2,0
4,1,0,52,40,2,0,15,38,2,0
4,0,4,58,42,2,7,15,9,0,0
4,0,1,25,40,2,11,9,38,4,0
2,1,1,24,40,2,3,9,38,4,0
4,1,3,19,8,2,10,15,38,4,0
4,1,0,43,40,2,3,15,38,2,0
2,0,4,47,40,1,0,11,38,5,0
4,0,4,39,40,2,7,11,38,0,0
4,1,4,49,42,2,5,8,38,3,0
4,1,1,32,45,2,2,8,38,4,0
4,1,0,34,50,2,9,15,38,2,1
4,1,1,28,45,2,2,11,38,0,0
0,0,1,25,20,2,0,15,38,4,0
4,1,0,34,50,2,9,9,38,2,1
4,1,0,38,80,3,3,9,38,2,1
4,1,0,50,50,2,3,11,38,2,1
2,1,1,24,50,1,5,15,38,0,0
4,1,0,37,45,1,12,15,38,2,1
4,1,4,44,58,2,6,15,38,0,1
4,0,5,28,40,2,11,15,38,2,0
4,1,0,42,40,2,3,9,38,2,1
4,0,1,74,9,2,0,15,38,0,0
4,1,0,38,50,4,2,11,38,2,0
4,1,0,44,40,4,9,12,38,2,0
3,0,4,44,46,2,6,1,32,0,0
4,1,1,26,40,2,6,11,38,4,0
2,1,0,36,40,2,7,11,38,2,0
4,0,5,41,50,2,3,7,38,2,1
4,1,0,67,48,2,9,14,38,2,1
4,1,0,39,50,1,12,2,38,2,0
2,0,1,57,30,2,8,3,38,6,0
4,1,1,29,40,2,2,8,38,5,0
4,0,1,31,45,3,4,9,38,4,0
4,1,0,44,40,2,13,15,38,2,0
4,1,3,29,40,2,9,10,38,4,0
4,0,4,30,40,2,5,15,38,4,0
4,1,1,27,40,2,13,11,38,4,0
4,1,0,27,50,2,11,15,38,2,0
4,0,1,32,45,2,5,11,38,4,0
4,0,5,58,8,2,7,0,38,2,0
4,1,0,35,40,1,10,15,38,2,0
4,1,3,21,36,2,5,11,38,4,0
4,1,4,28,40,2,2,15,38,4,0
4,1,1,46,50,4,3,15,38,0,0
4,0,4,36,40,4,7,11,38,5,0
4,0,4,72,40,2,0,1,38,6,0
2,0,5,35,40,2,6,11,38,2,0
2,0,4,33,40,0,2,8,38,0,1
4,0,1,69,40,2,6,1,38,4,0
4,1,0,35,40,2,6,11,38,2,0
4,0,5,34,32,2,12,11,38,2,0
4,1,0,30,40,2,7,1,25,2,0
4,1,1,28,55,2,13,9,38,4,0
4,1,0,54,35,2,11,9,38,2,1
4,1,0,47,50,2,9,15,38,2,1
2,0,4,24,40,2,5,11,38,4,0
4,1,0,52,60,4,9,9,38,2,1
0,1,3,20,48,2,5,11,38,4,0
4,1,0,43,45,3,3,12,38,2,0
4,0,4,45,40,2,7,5,25,5,0
4,1,1,29,35,4,2,11,38,5,0
4,1,4,47,42,2,3,12,38,0,0
4,1,3,24,40,2,2,11,38,4,0
4,1,0,51,40,2,9,11,38,2,0
4,1,3,17,12,2,11,1,38,4,0
4,1,0,37,40,2,2,8,38,2,1
4,0,1,27,70,2,9,10,38,4,0
4,1,5,29,40,2,3,9,38,2,1
4,0,4,36,35,4,11,7,38,0,0
4,0,1,58,40,1,9,9,38,4,0
4,1,0,26,45,4,2,15,38,2,0
4,1,0,57,40,2,11,11,38,2,1
4,1,0,59,40,2,2,11,38,2,0
4,1,0,27,40,2,6,11,38,2,0
4,1,1,31,40,4,12,9,38,4,0
4,0,3,21,24,2,11,15,38,4,0
4,1,1,29,60,2,0,15,38,4,0
4,1,3,18,40,2,7,1,38,4,0
4,1,0,52,47,2,2,0,38,2,1
4,1,1,57,80,3,9,9,38,0,0
4,1,1,60,48,2,13,5,38,4,1
4,1,0,31,40,2,9,9,1,2,1
4,0,3,23,40,2,0,9,38,4,0
4,1,3,27,40,2,11,11,38,4,0
4,1,0,42,50,4,9,14,38,2,1
4,1,1,25,40,2,12,15,38,4,0
4,0,1,49,45,2,9,9,38,4,0
4,1,1,32,40,2,12,9,38,4,0
4,1,3,19,28,2,0,15,38,4,0
4,0,1,60,40,2,7,5,38,0,0
4,1,0,42,40,1,7,6,38,2,0
4,1,1,35,40,4,4,7,38,4,0
2,0,4,48,37,2,0,11,38,4,0
4,1,0,51,40,2,2,12,38,2,1
0,1,1,29,40,2,2,11,38,4,0
2,1,1,36,40,1,3,11,38,5,0
4,0,3,17,21,2,7,0,38,4,0
4,0,1,52,60,2,9,12,38,0,0
4,1,1,24,40,2,2,11,38,4,0
4,1,0,24,50,2,5,11,38,2,0
4,1,3,26,40,1,9,9,38,4,0
4,0,3,27,20,2,7,9,38,4,0
4,1,3,39,60,2,5,11,38,4,0
2,1,0,30,45,2,13,11,38,2,0
4,1,0,50,32,4,3,11,38,2,0
4,1,0,52,55,3,11,9,38,2,0
4,1,0,46,45,2,9,14,38,2,1
4,0,3,23,20,2,11,9,38,4,0
2,0,1,45,20,2,7,1,38,6,0
2,0,4,65,24,2,8,6,38,6,0
4,1,0,29,55,2,13,8,38,2,0
4,1,4,47,40,2,5,6,7,3,0
2,1,3,30,60,2,4,11,38,4,0
4,1,0,34,45,2,11,11,38,2,1
4,1,0,38,64,4,11,11,38,2,0
4,1,0,33,40,2,3,15,38,2,1
4,1,0,49,26,2,11,9,38,2,1
2,0,4,47,40,4,7,15,38,4,0
2,0,4,49,40,1,7,0,38,5,0
4,1,0,43,60,2,2,15,38,2,1
2,0,5,30,40,2,0,9,38,2,1
4,1,0,58,60,4,2,11,38,2,0
4,0,3,19,14,2,7,11,38,4,0
4,1,1,21,40,2,5,9,38,4,0
4,1,0,33,60,2,3,9,38,2,1
4,1,0,47,50,3,13,4,4,2,0
4,1,0,52,60,4,9,10,38,2,1
4,1,1,26,55,2,2,11,38,0,0
4,1,0,60,40,2,2,11,38,2,0
4,1,3,21,40,2,5,15,38,4,0
4,1,0,36,50,2,11,15,38,2,1
4,1,0,31,45,2,2,15,38,2,0
4,1,1,50,40,3,9,10,38,5,1
4,0,4,31,40,1,0,11,38,0,0
4,1,0,71,15,2,2,11,38,2,0
4,1,0,30,40,5,12,9,38,2,1
4,1,3,20,20,2,7,15,38,4,0
4,1,2,24,50,2,3,11,38,4,0
1,1,0,35,40,2,9,10,35,2,1
4,0,1,38,45,5,3,15,38,5,0
4,0,3,27,32,2,6,11,38,4,0
1,0,4,29,40,5,0,15,29,4,0
4,1,0,34,45,2,2,11,38,2,0
4,1,0,44,35,2,2,5,38,2,0
4,1,0,43,40,2,6,11,38,2,1
2,1,0,44,40,4,5,2,38,2,1
4,1,1,35,60,2,11,12,38,4,0
4,1,1,27,40,2,9,15,38,4,0
4,1,1,43,38,1,9,12,38,4,0
4,0,1,20,25,2,11,15,38,4,0
4,0,4,42,40,2,9,7,38,0,1
4,1,0,27,40,5,13,15,38,2,0
2,1,0,42,40,2,2,11,38,2,1
4,1,1,24,40,2,6,6,38,4,0
4,1,1,48,40,0,3,15,38,0,0
4,1,3,17,10,4,4,1,38,4,0
4,1,0,33,40,2,3,9,38,2,1
4,1,0,50,50,3,11,11,38,2,1
4,0,3,22,40,2,11,11,38,4,0
4,1,3,17,16,2,7,2,38,4,0
4,1,0,32,40,2,0,15,25,2,0
4,1,1,31,45,2,2,11,38,4,0
4,1,1,58,50,4,3,11,38,6,0
4,1,3,29,48,1,10,11,38,4,0
4,1,0,37,40,2,2,8,31,2,1
4,1,0,34,40,4,2,11,38,2,1
2,1,4,23,40,1,3,15,38,5,0
4,0,3,18,5,5,0,1,38,4,0
4,0,1,34,40,2,3,11,38,0,0
