Sex,Age,Race,Juvenile Felonies,Juvenile Misdemeanors,Juvenile Others,Previous Convictions,Degree of Conviction,Days in Jail,COMPAS Score,Recidivism
1,29,2,0,0,0,2,1,31,2,1
1,25,0,0,0,0,0,0,272,6,0
0,51,0,0,0,0,7,0,2,2,0
1,28,2,0,0,0,8,0,2,7,0
1,36,0,0,0,0,22,1,80,9,0
1,29,0,0,0,0,0,0,1,7,1
1,29,5,0,0,0,0,1,2,1,0
1,25,2,0,0,0,9,1,24,10,1
1,35,0,1,0,4,13,0,1,8,1
1,49,2,0,0,0,0,1,1,1,0
1,34,0,0,0,0,4,1,52,3,1
1,29,0,0,0,0,0,0,1,4,0
1,29,2,0,0,0,1,0,1,2,1
0,28,5,0,0,0,0,0,1,2,0
1,51,2,0,0,0,0,0,202,2,0
1,25,2,0,0,0,0,0,1,3,0
1,48,2,0,0,0,20,0,248,6,1
1,33,2,0,0,0,1,0,1,9,0
0,63,3,0,0,0,1,0,9,1,0
1,30,0,0,0,1,3,0,59,6,0
1,31,0,0,0,1,15,0,136,5,1
1,24,0,0,0,0,2,0,2,4,1
1,27,0,0,0,0,0,0,31,5,0
1,32,2,0,0,0,3,0,2,8,0
1,30,3,0,0,0,0,1,317,7,0
1,49,0,0,0,0,4,1,1,1,0
1,53,2,0,0,0,8,0,14,5,0
0,31,3,0,0,0,0,1,1,1,0
1,35,0,0,0,0,5,0,31,3,0
1,63,0,0,0,0,10,1,154,7,1
1,33,0,0,0,0,2,0,1,1,0
1,27,0,1,1,2,15,0,2,10,1
1,38,2,0,0,0,4,1,61,2,1
1,46,2,3,1,0,9,0,2,6,0
1,22,0,0,0,1,1,0,2,4,1
0,34,2,0,0,0,0,1,1,1,0
1,22,0,0,1,2,2,0,125,10,1
1,29,0,0,0,0,4,0,19,9,1
1,62,3,0,0,0,0,1,1,1,0
1,27,0,0,1,0,6,0,31,6,1
1,33,5,0,0,0,0,1,32,1,0
0,56,0,0,0,0,0,1,261,1,0
1,45,3,0,0,0,6,0,23,1,1
1,22,3,0,0,0,1,0,2,4,0
0,31,2,0,0,0,2,0,31,3,0
1,34,0,0,0,0,0,0,215,4,0
1,39,0,0,0,0,1,1,153,4,0
1,24,0,0,1,0,4,1,1,6,0
1,29,0,0,0,0,5,0,32,6,1
1,27,2,0,0,1,1,0,308,6,1
0,24,3,0,0,0,1,1,1,4,0
1,40,0,0,0,0,2,0,90,2,0
1,51,0,0,0,0,1,0,290,1,0
1,22,0,0,0,0,1,1,76,3,1
1,22,2,0,0,0,0,0,58,8,0
0,26,0,0,0,0,1,0,63,4,1
1,27,2,0,0,0,1,0,40,7,1
1,32,2,0,0,0,3,1,70,1,0
1,32,0,0,0,0,0,0,32,2,0
1,41,0,0,0,0,1,1,56,2,0
1,50,2,0,0,0,0,1,1,1,0
1,30,0,0,0,0,8,1,2,10,1
1,66,0,0,0,0,0,1,2,9,0
1,52,0,0,0,0,3,0,274,5,0
1,22,2,0,0,0,3,0,1,6,0
1,50,5,0,0,0,0,0,30,1,1
1,25,0,1,6,1,14,0,8,10,1
1,20,5,0,0,0,0,0,29,5,1
1,22,0,1,0,0,2,0,31,9,1
1,23,0,0,0,1,2,1,31,7,1
1,54,0,0,0,0,6,0,165,6,0
1,40,2,0,0,0,4,0,1,5,0
1,25,0,0,0,0,10,0,239,7,0
0,35,0,0,0,0,1,1,1,2,0
1,36,0,0,0,0,9,0,56,7,1
1,26,2,0,0,0,7,0,1,8,1
1,21,5,0,0,0,1,0,4,6,1
1,30,2,0,0,1,6,0,106,5,0
1,25,2,0,0,0,9,0,1,8,1
1,34,0,0,0,0,3,1,17,3,0
0,20,2,0,0,0,0,0,1,7,0
1,39,2,0,0,0,2,0,1,1,1
1,66,2,0,0,0,3,0,2,1,0
0,54,2,0,0,0,0,1,1,1,0
0,44,3,0,0,0,0,1,2,1,0
1,19,0,0,0,0,1,1,217,4,1
1,24,0,0,0,0,1,0,138,2,0
1,30,0,0,0,0,1,0,31,2,0
0,39,2,0,0,0,0,0,61,1,1
0,32,0,0,0,0,8,1,1,3,0
1,24,2,0,1,2,8,0,165,6,1
1,30,2,0,0,0,0,0,173,4,0
1,31,2,0,0,0,0,1,39,5,0
0,39,2,0,0,0,1,0,284,4,0
1,59,0,0,0,0,14,0,110,9,1
1,35,2,0,0,0,7,0,1,6,0
0,24,5,0,0,0,0,0,76,3,0
1,43,2,0,0,0,1,0,2,1,0
1,21,0,1,0,1,2,0,2,9,0
0,21,0,0,0,0,0,1,4,4,0
1,21,0,0,0,0,3,0,182,9,1
1,27,0,0,0,0,0,0,31,7,0
1,20,0,0,0,0,0,0,1,8,0
1,38,2,0,0,0,5,1,3,4,1
1,27,0,0,0,0,3,0,208,9,0
1,34,2,0,0,0,0,0,13,5,0
1,30,0,0,0,0,3,0,1,3,0
1,33,0,0,0,0,5,0,1,5,1
1,37,0,0,0,0,3,0,2,2,0
1,42,2,0,0,0,1,0,1,2,1
1,41,0,0,1,0,10,0,209,9,1
1,22,0,0,0,0,0,0,29,4,1
1,33,0,0,12,2,28,0,61,8,1
1,44,2,0,0,0,0,1,293,1,0
1,31,0,0,0,0,1,1,2,7,0
1,26,0,0,0,0,9,0,1,8,0
0,30,5,0,0,0,1,0,2,2,0
1,31,2,0,0,0,13,0,620,10,1
1,27,0,0,0,0,3,0,1,9,1
0,31,2,0,0,0,1,0,32,2,0
1,47,3,0,0,0,2,0,31,1,0
1,56,0,0,0,0,8,0,271,9,0
1,33,1,0,0,0,2,1,14,8,0
1,52,2,0,0,0,3,1,1,9,0
1,33,0,0,0,0,19,0,1,10,1
1,61,2,0,0,0,0,0,103,4,0
0,64,2,0,0,0,2,1,1,1,0
1,22,2,0,0,0,4,0,15,6,1
1,42,2,0,0,0,6,0,1,3,0
0,25,2,0,0,0,2,0,4,4,0
1,27,2,0,0,0,0,0,2,1,0
1,30,2,0,0,0,1,1,234,2,0
0,37,5,0,0,0,2,1,2,2,0
1,21,2,0,0,0,1,0,31,5,0
1,28,2,0,0,0,0,1,1,2,1
0,24,0,0,0,0,0,1,62,2,0
1,37,0,0,0,0,13,0,30,8,0
1,22,0,0,0,0,0,0,8,9,0
0,29,2,0,1,0,10,0,8,4,1
0,25,2,0,0,0,0,0,1,3,0
1,44,2,0,0,0,2,1,1,2,1
0,30,3,0,0,0,4,0,1,5,1
1,32,0,0,0,0,3,0,244,7,1
1,53,3,0,0,0,1,0,2,4,0
1,34,5,0,0,0,1,1,321,2,0
1,31,2,0,0,0,2,1,133,3,1
1,27,0,0,0,0,5,0,7,10,0
1,31,0,0,0,0,1,1,2,2,1
1,59,2,0,0,0,1,0,31,2,1
1,28,0,0,0,0,15,0,218,10,0
1,23,2,0,0,0,0,1,30,3,0
0,20,0,1,0,0,1,0,3,10,0
1,42,0,0,0,0,2,0,11,1,0
0,43,2,0,0,0,0,1,1,1,0
1,38,0,1,1,0,9,0,103,8,1
1,32,0,0,0,0,11,0,2,6,1
1,33,0,0,0,0,8,1,1,5,1
1,55,0,0,0,0,4,1,17,8,0
0,31,0,0,0,0,0,0,2,3,1
0,33,0,0,0,0,7,0,152,9,1
1,27,0,0,0,0,2,0,2,9,1
1,52,0,0,0,0,0,1,29,1,0
0,20,0,0,0,0,0,0,1,6,0
0,26,2,0,0,0,0,1,1,6,0
1,25,0,0,0,0,4,1,29,10,0
0,61,0,0,0,0,1,0,1,1,1
1,52,5,0,0,0,13,0,2,7,1
1,63,3,0,0,0,1,0,250,1,0
0,32,0,0,0,0,4,0,7,10,1
1,29,3,0,0,0,1,0,31,4,0
0,26,0,0,0,0,2,1,30,4,1
1,55,0,0,0,0,3,1,32,1,0
0,30,2,0,0,0,3,0,617,7,1
1,30,0,0,0,0,1,0,276,7,0
1,48,2,0,0,0,2,1,1,2,0
1,33,2,0,0,0,0,1,2,1,0
1,22,0,0,0,0,1,0,1,2,0
1,46,2,0,0,0,6,0,37,1,1
1,41,2,0,0,0,5,0,96,10,0
0,49,2,0,0,0,6,0,6,6,0
1,31,2,0,0,0,0,0,3,5,0
1,31,0,0,0,0,0,1,1,1,0
1,25,0,0,0,0,1,1,2,2,1
1,31,0,0,0,0,3,0,138,3,0
0,21,0,0,0,0,0,1,4,6,0
1,23,3,0,0,0,0,0,1,3,0
0,32,0,0,0,0,5,0,2,7,0
1,52,3,0,0,0,2,1,92,1,0
1,62,0,0,0,0,8,0,71,4,0
1,30,0,0,0,0,2,1,31,6,0
0,37,2,0,0,0,6,0,76,10,0
1,55,2,0,0,0,1,0,19,1,0
1,31,3,0,0,0,8,0,118,9,1
1,28,0,0,0,0,6,1,1,6,1
1,54,3,0,0,0,2,0,219,1,0
1,58,3,0,0,0,0,0,1,2,0
1,78,2,0,0,0,1,1,1,1,1
1,56,2,0,0,0,0,0,29,1,0
1,21,3,0,0,0,1,1,39,10,0
1,24,5,0,0,0,0,0,2,2,0
1,38,0,2,2,1,22,0,93,8,1
1,39,0,0,0,0,3,1,154,5,0
1,35,2,0,0,0,0,0,1,1,0
1,22,0,0,0,0,1,0,1,5,1
1,47,0,0,0,0,23,1,28,8,1
1,23,0,0,0,0,0,1,32,2,1
1,57,3,0,0,0,1,0,20,1,0
0,38,2,0,0,0,2,0,31,5,1
1,66,0,0,0,0,3,0,60,1,1
1,45,2,0,0,0,8,1,72,4,1
0,28,2,0,0,0,0,1,2,5,0
1,45,5,0,0,0,2,0,2,1,0
1,32,0,0,0,0,13,0,98,10,1
1,37,0,0,0,0,2,1,1,9,1
1,39,2,0,0,0,0,0,28,4,1
1,26,0,0,0,0,9,0,50,9,1
1,25,0,0,0,0,3,0,29,8,0
1,45,2,0,0,0,2,0,359,3,0
0,57,2,0,0,0,7,0,145,9,0
1,23,0,0,0,0,0,0,1,3,1
1,34,0,0,0,0,2,1,26,2,1
1,38,0,0,0,0,14,0,88,10,0
0,23,0,0,0,0,1,1,1,4,0
1,36,5,0,0,0,2,1,3,3,1
1,50,2,0,0,0,1,0,87,1,0
0,37,2,0,0,0,0,1,1,3,0
1,44,2,0,0,0,4,1,31,4,0
0,35,0,0,1,0,23,0,146,9,1
1,31,2,0,0,0,1,0,37,1,0
1,24,5,0,0,0,5,0,31,5,1
1,40,1,0,0,0,3,0,107,1,0
1,26,0,0,0,0,2,0,2,10,1
1,37,5,0,0,0,1,0,60,6,0
1,27,0,0,0,0,0,1,3,2,0
0,31,2,0,0,0,1,1,2,3,0
0,28,0,0,0,0,0,0,30,8,0
1,43,2,0,0,0,11,0,210,5,1
0,28,2,0,0,0,7,0,31,9,1
1,38,0,0,0,0,0,0,1,1,0
1,38,0,0,0,0,2,0,2,1,0
1,27,2,0,0,0,2,1,37,4,0
0,28,0,0,0,0,1,0,244,9,0
1,21,0,1,0,0,1,0,3,7,0
1,56,2,0,0,0,7,0,1,1,1
1,38,0,0,0,0,15,0,2,9,0
1,28,0,0,0,0,2,1,1,5,0
1,45,0,0,0,0,3,0,219,6,0
0,24,5,0,0,0,1,0,2,2,0
1,61,2,0,0,0,1,0,1,1,0
0,51,2,0,0,0,0,1,323,1,1
1,51,2,0,0,0,0,1,1,2,0
1,20,2,0,0,1,0,0,1,4,0
1,36,5,0,0,0,1,1,31,1,1
1,48,0,0,0,0,0,0,322,1,0
1,37,2,0,0,0,4,0,2,3,1
0,30,0,0,0,0,2,0,205,7,0
0,41,0,0,0,0,5,1,1,6,0
1,27,0,0,0,0,11,0,70,10,1
1,37,0,0,0,0,0,1,2,1,1
1,33,5,0,0,0,4,0,84,4,1
1,54,0,0,0,0,11,0,100,9,0
1,23,0,0,0,0,2,0,18,9,0
1,22,0,0,0,0,0,0,2,6,0
0,26,0,0,0,0,2,0,227,4,1
0,23,0,0,2,0,3,0,2,6,0
1,41,0,0,0,0,0,1,1,1,0
1,52,2,0,0,0,0,0,1,1,0
1,43,2,0,0,0,13,0,288,4,1
1,52,0,0,0,0,0,0,14,4,0
1,28,2,0,0,0,1,0,4,1,0
1,30,0,0,0,2,11,1,32,9,1
1,28,2,0,0,0,1,0,201,5,0
1,47,2,0,0,0,1,0,68,2,0
0,34,0,0,0,0,0,1,1,2,0
1,22,0,0,0,0,0,0,1,4,0
1,30,0,0,0,0,4,0,1,2,0
1,25,3,0,0,0,4,0,32,4,0
1,31,2,0,0,0,0,0,31,8,1
1,37,2,0,0,0,0,0,36,2,1
1,32,0,0,1,0,14,0,2,9,0
1,26,0,0,1,0,4,1,14,8,0
1,53,2,0,0,0,1,1,2,1,0
1,28,0,0,0,0,25,0,153,8,1
1,44,2,0,0,0,8,1,173,5,1
1,25,0,0,0,0,0,0,1,3,0
0,30,5,0,0,0,0,1,31,1,0
1,22,2,0,0,1,1,1,122,8,1
0,30,0,1,0,0,2,0,54,8,0
0,20,0,0,0,0,0,0,2,5,0
0,37,5,0,0,0,0,1,32,1,0
0,33,2,0,0,0,0,0,29,2,0
0,47,2,0,0,0,2,0,4,5,0
0,40,5,0,0,0,3,0,2,2,0
1,24,5,0,0,0,0,1,31,2,0
1,36,2,0,0,0,8,0,23,7,1
1,30,2,0,0,0,4,0,63,2,0
1,22,0,0,0,0,3,1,1,9,1
0,24,2,0,0,0,1,1,30,7,1
1,27,0,0,0,0,3,1,110,2,1
0,31,3,0,0,0,0,1,31,2,0
1,47,0,0,0,0,0,1,31,1,0
1,23,3,0,0,1,1,0,2,6,1
0,23,2,0,0,4,5,0,30,5,1
1,24,3,0,0,0,0,1,31,8,0
1,29,0,0,0,0,1,1,87,3,0
1,20,0,0,0,0,1,0,2,8,1
1,30,0,0,0,0,2,0,2,6,1
1,39,2,0,0,0,1,1,30,2,0
1,38,0,0,0,0,1,1,177,4,0
1,39,5,0,0,0,0,0,30,1,0
1,27,0,0,0,0,4,0,30,4,0
1,18,0,2,0,0,2,0,31,10,0
1,31,2,0,0,0,2,1,129,4,1
0,37,0,0,0,0,2,0,31,1,0
1,31,2,0,0,0,0,0,30,2,0
1,27,0,0,0,0,2,0,2,8,0
1,20,0,0,0,0,0,0,3,8,0
1,46,0,1,0,0,5,1,235,8,0
1,22,3,0,0,1,0,0,3,7,0
0,52,0,0,0,0,0,0,31,1,0
0,23,0,0,0,0,0,0,120,4,1
1,20,0,1,0,0,1,0,7,7,0
0,48,0,0,0,0,0,0,28,2,0
1,25,2,0,0,0,0,0,1,5,0
1,27,2,0,0,0,0,0,62,6,1
1,30,0,0,0,0,11,0,29,7,1
1,22,0,0,1,1,3,1,32,10,1
0,22,2,0,0,0,1,0,1,3,0
1,32,2,0,0,0,2,0,41,4,0
0,41,0,0,0,0,2,1,30,3,0
1,35,2,0,0,0,9,0,281,8,0
1,43,0,0,0,0,0,0,6,1,0
0,25,5,0,0,0,0,0,1,2,0
1,44,0,0,0,0,24,1,207,7,0
1,52,0,0,0,0,3,0,171,6,1
1,43,0,0,0,0,0,0,42,1,0
1,37,0,0,0,0,0,1,2,1,0
1,47,5,0,0,0,1,1,92,1,0
0,45,2,0,0,0,3,0,126,1,0
1,23,0,0,0,0,2,0,62,4,0
1,37,2,0,0,0,3,0,90,1,0
1,28,0,0,0,0,3,1,3,4,1
1,70,2,0,0,0,1,1,17,1,0
1,54,2,0,0,0,6,0,31,2,1
1,58,2,0,0,0,9,1,61,7,0
1,46,2,0,0,0,3,0,15,4,0
1,21,0,0,0,0,0,1,32,9,1
1,26,0,0,0,0,1,1,2,8,1
1,38,3,0,0,0,3,0,61,1,1
1,34,2,0,0,0,5,1,2,4,0
0,34,2,0,0,0,0,0,4,8,0
1,19,0,0,0,0,1,0,20,5,1
1,34,0,0,0,0,5,1,31,4,0
0,32,0,0,0,0,3,1,56,4,0
1,23,2,0,0,0,0,0,1,5,1
1,34,0,0,0,0,5,0,3,4,1
1,30,0,0,0,0,2,0,232,1,0
1,39,0,0,0,0,6,0,91,3,1
1,24,5,0,0,0,0,0,32,3,0
1,33,2,0,0,0,1,1,1,3,1
1,33,2,0,0,0,0,0,2,2,0
1,40,2,0,0,0,6,1,10,4,0
1,58,2,0,0,0,2,0,2,3,0
0,21,0,0,0,0,0,1,31,6,0
1,44,1,0,0,0,2,0,359,2,0
1,56,0,0,0,0,13,0,478,8,0
1,27,2,0,0,0,1,0,244,5,0
1,21,0,0,0,0,1,0,155,5,1
1,23,0,0,0,1,4,1,166,8,1
1,62,2,0,0,0,0,0,61,1,0
1,27,0,1,0,1,4,1,1,8,1
1,57,5,0,0,0,6,1,92,1,0
1,37,2,0,0,0,5,0,334,3,0
1,43,5,0,0,0,2,0,8,2,1
0,32,0,0,0,0,5,0,1,1,0
0,33,0,0,0,0,2,0,3,3,0
1,23,3,0,0,0,0,0,46,3,0
1,27,0,0,0,0,0,1,31,1,0
1,44,2,0,0,0,0,1,32,1,1
1,28,2,0,0,0,3,1,1,3,1
0,42,2,0,0,0,0,0,2,2,0
1,48,0,0,0,0,5,0,167,5,0
1,24,5,0,1,0,9,0,5,10,1
1,27,0,0,0,0,0,0,18,2,0
1,20,0,0,0,0,0,0,1,10,1
1,24,0,0,0,0,1,0,3,8,0
1,31,2,2,0,0,6,0,253,10,0
1,22,0,0,1,0,2,0,1,5,0
0,51,2,0,0,0,0,1,2,1,0
1,56,2,0,0,0,0,1,31,1,0
1,20,2,0,0,0,0,1,1,6,0
1,54,0,0,0,0,1,0,154,3,0
1,29,0,0,0,0,7,0,2,9,0
1,42,2,0,0,0,0,0,32,4,0
1,20,0,0,0,0,0,0,55,9,1
1,53,2,0,0,0,6,0,267,1,0
1,48,0,0,0,0,8,1,5,8,0
1,24,5,0,0,0,0,0,2,2,0
1,27,2,0,0,0,8,0,69,5,0
1,24,0,0,1,0,2,0,20,9,1
0,22,0,0,0,0,0,0,31,3,0
1,53,2,0,0,0,36,0,415,6,1
1,36,2,0,0,0,0,1,1,1,0
1,28,2,0,0,0,2,1,31,3,1
1,46,3,0,0,0,1,0,1,1,0
1,21,5,0,0,0,0,0,32,4,0
1,21,3,0,1,0,3,0,272,5,1
0,36,0,0,0,0,0,0,13,7,0
0,25,2,0,0,0,2,1,31,4,1
0,23,3,0,0,0,1,1,1,3,1
1,54,3,0,0,0,2,0,34,1,0
1,28,2,0,0,0,1,0,2,5,0
0,21,0,0,0,0,0,0,2,8,1
1,36,2,0,0,0,0,1,1,3,0
1,24,0,0,0,0,0,0,266,3,0
1,28,0,0,0,0,3,0,54,6,1
1,30,5,0,0,0,1,0,1,2,1
1,29,0,0,0,0,0,0,32,1,0
1,22,0,0,0,0,2,0,136,8,0
1,31,0,0,0,0,8,0,1,9,0
0,30,2,0,0,0,0,1,4,6,0
1,51,3,0,0,0,1,1,2,1,0
1,33,5,0,0,0,3,0,90,1,0
0,25,0,0,0,0,2,0,2,6,0
1,37,0,0,0,0,4,1,2,2,0
1,32,0,0,1,0,12,0,2,9,1
1,23,0,0,0,1,1,0,29,6,0
1,47,0,0,0,0,3,0,1,3,0
0,32,3,0,0,0,1,0,62,3,1
1,37,2,0,0,0,0,0,20,1,0
1,19,0,0,2,0,2,0,87,10,1
1,27,3,0,0,0,0,1,3,8,0
1,39,5,0,0,0,0,1,1,1,0
0,21,2,0,0,2,0,0,1,6,0
1,69,2,0,0,0,0,1,1,1,0
1,36,2,0,0,0,3,0,7,3,0
1,21,2,0,0,0,2,0,62,6,0
1,26,0,0,0,1,6,1,123,10,1
1,22,2,0,0,0,0,0,1,4,0
0,23,0,0,0,0,0,0,1,5,1
1,20,0,1,0,0,1,0,202,7,0
1,28,2,0,0,0,0,0,1,2,0
1,45,2,0,0,0,0,1,145,5,0
1,49,0,0,0,0,3,0,4,5,0
1,29,0,0,0,1,2,1,51,4,1
0,60,2,0,0,0,0,1,1,1,0
1,23,0,2,0,0,3,0,1,10,1
1,34,3,0,0,0,2,1,208,5,1
1,30,2,0,0,0,0,1,3,1,0
0,20,5,1,0,0,1,0,3,4,0
1,36,3,0,0,0,1,0,96,3,0
1,30,2,0,0,0,0,0,61,4,0
1,21,0,0,1,0,1,0,1,3,1
1,34,0,1,0,0,11,1,4,8,0
1,25,3,0,0,0,1,0,92,7,0
1,25,0,0,0,0,7,0,31,7,0
1,22,2,0,0,0,2,1,31,6,1
1,29,2,0,0,0,2,1,2,8,0
1,36,0,0,0,0,1,0,142,1,0
1,29,0,0,1,0,7,1,1,2,0
1,21,0,0,0,0,4,0,220,9,1
1,21,0,0,0,0,0,0,72,5,1
1,33,2,0,0,0,3,0,1,1,0
1,34,2,0,0,0,1,1,1,1,0
1,27,2,0,0,0,0,1,148,2,0
0,50,2,0,0,0,1,1,31,1,1
1,26,0,0,0,0,1,0,115,3,0
1,40,2,0,0,0,0,0,68,7,1
1,25,0,0,0,0,7,0,48,8,1
0,53,2,0,0,0,1,1,1,1,0
0,24,0,0,0,0,0,0,2,4,0
1,39,2,0,0,0,2,1,2,4,0
1,42,0,0,0,0,1,0,55,1,0
1,28,0,0,0,0,1,1,59,3,0
1,24,2,0,0,0,1,1,37,4,0
0,23,3,0,0,0,0,1,1,4,0
1,26,0,1,1,0,6,0,2,8,1
1,42,0,0,0,0,3,1,117,5,0
1,22,2,0,0,1,1,1,1,2,0
1,22,0,0,0,0,4,0,204,9,1
1,21,2,0,0,0,3,1,183,7,0
1,37,0,0,0,0,23,0,40,9,1
1,44,2,0,0,0,0,1,4,2,0
1,64,2,0,0,0,13,0,21,9,0
1,35,0,0,0,0,2,0,6,5,0
1,36,0,0,0,0,8,0,485,7,0
1,53,0,0,0,0,2,0,30,1,0
1,29,0,0,0,0,7,0,2,4,1
1,48,2,1,0,0,23,0,243,8,1
1,23,0,0,0,0,0,0,2,2,0
1,48,3,0,0,0,8,0,146,4,0
0,52,2,0,0,0,0,1,1,1,0
1,44,0,0,0,0,7,1,1,2,0
1,28,1,0,0,0,1,0,106,5,0
1,27,0,0,0,0,12,0,32,8,1
1,28,0,0,0,0,5,0,81,9,1
1,33,2,0,0,0,3,1,1,3,0
0,28,3,0,0,0,0,0,62,2,0
1,47,2,0,0,0,5,0,292,10,1
1,36,0,0,0,0,14,0,30,7,1
1,29,0,1,0,0,2,0,61,5,0
1,22,0,0,0,1,0,1,22,9,1
1,26,0,0,0,2,6,0,1,7,0
1,40,2,0,0,0,0,1,1,1,0
1,65,2,0,0,0,0,1,3,1,0
1,25,2,0,0,0,0,0,1,2,0
1,68,2,0,0,0,2,0,30,1,0
0,32,2,0,0,0,1,0,62,4,0
1,56,0,0,0,0,5,0,45,3,0
1,27,0,0,0,0,9,0,231,8,1
1,52,2,0,0,0,4,0,52,1,1
0,31,0,0,0,0,0,0,3,2,0
1,32,0,0,0,0,3,0,32,2,0
1,60,5,0,0,0,4,0,2,1,0
1,35,0,0,6,3,29,0,1,6,0
1,31,0,0,0,0,4,0,7,8,0
1,23,3,0,0,0,1,1,6,3,0
0,39,2,0,0,0,0,1,1,6,0
1,56,2,0,0,0,0,1,1,1,0
0,22,0,0,0,0,0,0,1,7,0
0,27,0,0,0,0,1,0,1,2,1
0,47,2,0,0,0,1,0,32,1,0
1,53,0,0,0,0,11,0,52,6,0
1,25,2,0,0,0,0,1,1,2,1
1,21,3,0,0,0,0,1,1,3,0
1,22,2,0,0,0,0,0,61,3,0
0,43,3,0,0,0,0,1,1,1,0
0,59,2,0,0,0,0,0,30,1,0
0,58,2,0,0,0,2,1,31,1,0
1,53,0,0,0,0,4,0,1,1,0
1,31,0,0,0,0,7,1,2,3,1
1,22,0,0,0,0,2,0,232,5,0
1,22,2,0,0,0,1,0,1,5,1
1,28,0,0,0,0,8,0,92,6,1
1,42,5,0,0,0,1,0,3,1,0
1,20,0,0,0,0,0,0,30,7,1
1,29,2,0,0,0,0,1,154,6,1
0,41,2,0,0,0,0,1,32,1,0
1,29,0,0,0,0,8,0,88,10,0
1,58,0,0,0,0,21,1,60,7,1
1,22,0,0,0,0,3,0,107,7,0
1,48,3,0,0,0,1,1,31,1,1
1,37,2,0,0,0,0,0,1,4,0
1,57,0,0,0,0,1,0,26,5,1
1,27,2,0,0,0,3,1,1,1,0
1,26,0,0,0,0,3,0,203,4,0
1,24,2,0,1,1,3,0,1,8,1
1,33,2,0,0,0,0,0,32,1,0
1,28,2,0,0,0,1,0,3,2,0
1,29,0,0,0,0,2,0,30,6,0
0,24,0,0,0,0,3,0,2,10,1
1,24,2,0,0,0,0,1,2,1,0
1,19,2,0,0,1,1,0,33,10,1
1,36,2,0,0,0,2,1,1,1,0
1,33,5,0,0,0,0,0,2,1,0
0,24,2,0,0,0,0,0,1,5,0
1,32,2,0,0,0,0,1,1,1,0
1,34,2,0,0,0,0,1,1,1,0
1,31,0,0,0,0,1,0,59,1,0
1,24,0,0,0,0,4,0,2,4,0
1,25,3,0,0,0,2,0,30,5,1
1,20,0,1,0,1,1,0,31,10,1
1,22,0,0,0,0,1,0,1,3,0
1,28,3,0,0,0,2,1,2,5,1
1,24,0,0,0,0,1,1,2,2,1
1,61,2,0,0,0,4,0,2,1,0
1,34,2,0,0,0,9,0,190,6,0
0,27,2,0,0,0,1,0,15,4,0
0,50,0,0,0,0,3,0,1,2,0
1,30,0,0,0,0,1,1,5,1,0
1,38,0,0,0,0,5,0,2,3,0
1,24,2,0,0,0,0,1,1,1,0
1,27,0,1,0,0,2,0,2,8,0
1,34,2,0,0,0,0,1,1,1,0
1,45,0,0,0,0,16,0,55,2,0
0,46,0,0,0,0,2,0,169,10,1
1,41,2,0,0,0,0,1,56,1,1
1,20,5,0,0,1,0,0,23,8,1
